path,label,class_name,stage,gt_prob,pred_prob,pred,correct,entropy
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.15,0.18691855669021606,0.6253907680511475,3,0,1.1414984464645386
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\232.jpg,0,anger,low_0.15,0.09499002993106842,0.683492124080658,3,0,1.064401626586914
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\232.jpg,5,surprise,low_0.15,0.037499941885471344,0.4587084949016571,2,0,1.1652076244354248
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\232.jpg,1,disgust,low_0.15,0.0617380291223526,0.3769260346889496,2,0,1.4234423637390137
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\232.jpg,2,fear,low_0.15,0.7481666803359985,0.7481666803359985,2,1,0.9047199487686157
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\233.jpg,2,fear,low_0.15,0.693749189376831,0.693749189376831,2,1,0.9928657412528992
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\233.jpg,0,anger,low_0.15,0.07021277397871017,0.7904321551322937,2,0,0.7956255078315735
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\233.jpg,1,disgust,low_0.15,0.257864385843277,0.3172365128993988,3,0,1.5400316715240479
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\232.jpg,3,joy,low_0.15,0.22119148075580597,0.5575291514396667,2,0,1.2905043363571167
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\234.jpg,0,anger,low_0.15,0.1301574409008026,0.5538903474807739,2,0,1.27678644657135
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\233.jpg,5,surprise,low_0.15,0.16689850389957428,0.34610432386398315,3,0,1.4913866519927979
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\233.jpg,4,sadness,low_0.15,0.9147254824638367,0.9147254824638367,4,1,0.3690173923969269
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\233.jpg,3,joy,low_0.15,0.29461580514907837,0.5693178176879883,2,0,1.1082298755645752
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\234.jpg,1,disgust,low_0.15,0.011855932883918285,0.5812941193580627,2,0,1.1597293615341187
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\234.jpg,5,surprise,low_0.15,0.29735642671585083,0.3914663791656494,3,0,1.4382176399230957
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\234.jpg,2,fear,low_0.15,0.34724918007850647,0.34724918007850647,2,1,1.5179665088653564
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\234.jpg,3,joy,low_0.15,0.6761764883995056,0.6761764883995056,3,1,1.1182286739349365
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\234.jpg,4,sadness,low_0.15,0.12821997702121735,0.564287543296814,2,0,1.1696581840515137
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\235.jpg,0,anger,low_0.15,0.18049509823322296,0.6719439029693604,2,0,1.0221580266952515
